City,Latitude,Longitude,City,State,County,Zip
"Home Garden, California",33.878071,-117.520882,Home Gardens,CA,Riverside County,91720
"Home Gardens, California",33.878071,-117.520882,Home Gardens,CA,Riverside County,91720
"Homeland, California",33.74477,-117.1084,Homeland,CA,Riverside County,92548
"Homestead Valley, California",37.898949,-122.53669,Homestead Valley,CA,Marin County,94941
"Homewood Canyon, California",37.95669,-122.024962,Concord,CA,Contra Costa County,94518
"Honcut, California",39.593945,-121.581363,Honcut,CA,Butte County,95965
"Hood, California",38.36824,-121.51745,Hood,CA,Sacramento County,95639
"Hoopa, California",41.05041,-123.67422,Hoopa,CA,Humboldt County,95546
"Hopland, California",38.965637,-123.138986,Hopland,CA,Mendocino County,95449
"Hornbrook, California",41.939792,-122.525589,Hornbrook,CA,Siskiyou County,96044
"Hornitos, California",37.555242,-120.226091,Hornitos,CA,Mariposa County,95325
"Hughson, California",37.59688,-120.86604,Hughson,CA,Stanislaus County,95326
"Humboldt Hill, California",40.706655,-123.926176,,CA,Humboldt County,
"Huntington Beach, California",33.66205,-117.968459,Huntington Beach,CA,Orange County,92646
"Huntington Park, California",33.977987,-118.213137,Huntington Park,CA,Los Angeles County,90255
"Huron, California",36.207165,-120.103363,Huron,CA,Fresno County,93234
"Hyampom, California",40.613736,-123.448823,Hyampom,CA,Trinity County,96046
"Hydesville, California",40.548691,-124.09898,Hydesville,CA,Humboldt County,95547
"Hypericum, California",35.187133,-117.885359,California City,CA,Kern County,93504
"Idlewild, California",35.810785,-118.672033,Idlewild,CA,Tulare County,93260
"Idyllwild-Pine Cove, California",33.760576,-116.737796,Pine Cove,CA,Riverside County,92349
"Igo, California",40.478246,-122.722296,Igo,CA,Shasta County,96047
"Imperial, California",32.84755,-115.56944,Imperial,CA,Imperial County,92251
"Imperial Beach, California",32.578991,-117.117351,Imperial Beach,CA,San Diego County,91932
"Independence, California",36.831167,-118.235097,Independence,CA,Inyo County,93526
"Indian Falls, California",39.940174,-120.885878,Indian Falls,CA,Plumas County,95971
"Indianola, California",40.825486,-124.049485,Indianola,CA,Humboldt County,95524
"Indian Wells, California",33.71863,-116.30834,Indian Wells,CA,Riverside County,92210
"Indio, California",33.710984,-116.204844,Indio,CA,Riverside County,92201
"Indio Hills, California",33.710984,-116.204844,Indio,CA,Riverside County,92201
"Industry, California",34.019734,-117.958675,Industry,CA,Los Angeles County,91714
"Inglewood, California",33.956526,-118.358654,Inglewood,CA,Los Angeles County,90301
"Interlaken, California",35.187133,-117.885359,California City,CA,Kern County,93504
"Inverness, California",38.112571,-122.887717,Inverness,CA,Marin County,94937
"Inyokern, California",35.639715,-117.857026,Inyokern,CA,Kern County,93527
"Ione, California",38.340647,-120.91473,Ione,CA,Amador County,95640
"Iron Horse, California",40.084036,-123.658638,Harris,CA,Humboldt County,95440
"Irvine, California",33.757245,-117.750414,Irvine,CA,Orange County,92602
"Irwindale, California",34.106953,-117.935341,Irwindale,CA,Los Angeles County,91706
"Isla Vista, California",34.413329,-119.860972,Isla Vista,CA,Santa Barbara County,93117
"Isleton, California",38.16186,-121.61162,Isleton,CA,Sacramento County,95641
"Holtville, California",32.867317,-115.374769,Holtville,CA,Imperial County,92250
"Ivanhoe, California",36.38858,-119.22011,Ivanhoe,CA,Tulare County,93235
"Jackson, California",38.366959,-120.763365,Jackson,CA,Amador County,95642
"Jacumba, California",32.61756,-116.18974,Jacumba,CA,San Diego County,91934
"Jamestown, California",37.883131,-120.419802,Jamestown,CA,Tuolumne County,95327
"Jamul, California",32.71829,-116.87041,Jamul,CA,San Diego County,91935
"Janesville, California",40.298255,-120.506184,Janesville,CA,Lassen County,96114
"Jenner, California",38.44964,-123.11556,Jenner,CA,Sonoma County,95450
"Johannesburg, California",35.370839,-117.642748,Johannesburg,CA,Kern County,93528
"Johnson Park, California",40.91766,-121.627208,Johnson Park,CA,Shasta County,96013
"Johnstonville, California",35.187133,-117.885359,California City,CA,Kern County,93504
"Johnsville, California",39.76073,-120.695499,Johnsville,CA,Plumas County,96103
"Jones Valley, California",40.298255,-120.506184,Janesville,CA,Lassen County,96114
"Joshua Tree, California",34.175713,-116.268415,Joshua Tree,CA,San Bernardino County,92252
"Jovista, California",35.187133,-117.885359,California City,CA,Kern County,93504
"Washington, California",39.352343,-120.79118,Washington,CA,Nevada County,95986
"Waterford, California",37.659644,-120.775617,Waterford,CA,Stanislaus County,95386
